symbol,count_high_z,vol_7d_highz,vol_7d_rest,vol_14d_highz,vol_14d_rest,vol_30d_highz,vol_30d_rest,uplift_7d,uplift_14d,uplift_30d
XLM,26,2.230812924065275,0.6502909583591447,2.0141984442882315,0.7042338913574407,1.6549443143994973,0.7974219831247852,3.430484301510517,2.860127109767152,2.075368311159942
CRO,11,2.141142434332245,0.6815528974390036,1.6941994793849136,0.7379674611720755,1.4016786951046152,0.8045733451275641,3.1415645687631595,2.295764472723641,1.742139114591698
XCN,16,3.2589844251499156,1.0389285116094227,2.763352258547231,1.1104868665035261,2.2731310231238826,1.2581038857757243,3.136870717024952,2.488415074414981,1.8067911949276834
CTC,17,2.0814009935833595,0.7434977703382148,1.9716150204488632,0.7988409885687816,2.164327256136693,0.8416175678261087,2.7994717356536745,2.468094462680546,2.5716279446579664
XDC,43,1.4803503879106037,0.5638230041122182,1.4313381992685528,0.6111105966416621,1.231698836287724,0.6892252265171696,2.625558689719528,2.342191752416705,1.7870774151895332
JST,10,1.3286061317897082,0.5212438077088726,1.2807134133567426,0.5532418017928779,1.40819962639725,0.5834111110454366,2.548914945636663,2.314925244633295,2.4137346713775187
SUN,19,1.98223245511189,0.7828109964361171,1.592875686662092,0.8623748722244734,1.2654253740686277,0.9562647889814254,2.5321980198749725,1.8470803567749032,1.3233001869874426
SFP,8,1.2477138786328439,0.5354358705249842,1.100790782885737,0.551864749593435,0.9232391434136573,0.5670184461915144,2.3302769711888844,1.994674933843305,1.628234759582807
HBAR,33,2.059785566755805,0.8944748963488508,1.986471697003437,0.9250336066631228,1.728449155759602,0.9854810180483125,2.3027874512338196,2.1474589492691445,1.7539142044386553
XMR,9,1.1631871642829303,0.5221179655521719,0.9532176135518203,0.5487817083164265,0.8574276836537991,0.5704723365359315,2.227824440120133,1.736970454930318,1.5030136059889267
NFT,12,1.0210924943335329,0.4720415243252679,0.797864963826834,0.5112298794077382,0.9681079228163342,0.5362331298401687,2.163141252865569,1.560677487691376,1.8053862563562446
DEXE,18,1.7628511606252564,0.8197871594671154,1.6783353027508474,0.8761360947497401,1.5362576126900183,0.9264349239552493,2.1503766438244276,1.9156102719752093,1.658246653883944
ALGO,27,1.772289603854202,0.825084074312607,1.6851047829989978,0.857306399283918,1.500634000350306,0.9101391237465284,2.148010922802903,1.9655805490388436,1.6487962787195038
SAND,15,1.9529388099654268,0.9182193446482981,2.052320420806999,0.9562460435285273,1.7425839201401816,1.0117667023546555,2.126876134060814,2.146226313506073,1.7223179178408583
XTZ,19,1.5604759095326894,0.7384801144474953,1.4137699386819598,0.7731233553835496,1.2617984454153188,0.8180172304084221,2.1130913060538976,1.828647302965751,1.5425083953125587
DASH,18,1.4250655293943066,0.6802905731402514,1.4040446620092015,0.7077539177330218,1.3706137277575399,0.7341264547752007,2.0947894703525596,1.9838034475406943,1.8669995051155597
AMP,6,1.7095167620742169,0.8289725069486915,1.5391610531748512,0.8487903366301606,1.2759461512471086,0.8806361209312593,2.062211650862416,1.8133583604233499,1.4488914557556587
TRX,37,0.9518702966525444,0.47064700616122346,1.2868148594020432,0.47508551960002665,1.4077242963755012,0.517991916620082,2.0224717977415,2.708596255439251,2.717656880750106
ANKR,5,1.655654660824758,0.8192359686202776,1.3465043925552564,0.8403584813457503,1.2550621602292593,0.8561643341223912,2.0209740834660144,1.602297617558359,1.465912687796972
IOTA,15,1.692677600577764,0.8695595471982223,1.620123865856911,0.9069428433462651,1.534558086928725,0.9467342546079763,1.9465919338493631,1.7863571863903644,1.6208963386078754
COMP,13,1.516569870436244,0.7805213400033789,1.4396640195523565,0.8126872174324555,1.2701828146299938,0.8526684245138145,1.9430216609191988,1.7714859895307884,1.489656211151765
1INCH,22,1.4945290094487598,0.7726651015090719,1.3596124438976749,0.8131879380515225,1.2388155006738226,0.8559321173768646,1.9342519890309975,1.6719535303922963,1.4473291462299172
DOT,25,1.358709505167238,0.708239094094508,1.3026101530398515,0.7473808394539443,1.2131533246373856,0.7771393353689993,1.9184333602826091,1.7429001176850776,1.5610499551684116
XRP,45,1.286002807034081,0.6824763714474239,1.2057509155638275,0.7437368811559087,1.1610577090657392,0.8128694644316166,1.8843184333351695,1.6212062977028394,1.4283445988189343
QTUM,11,1.5142160187608091,0.8093347812456728,1.3088301086128085,0.8449936754215842,1.2375218092234626,0.8747980420228253,1.8709390154099534,1.5489229643758067,1.4146371502637325
MANA,9,1.5664530341915233,0.8554336393278914,1.529760913061108,0.8884776456413271,1.357237756112251,0.9240281054788818,1.8311800730940102,1.7217776052844698,1.4688273528312825
ZIL,15,1.3766534429108235,0.7566898488203276,1.3102164970105774,0.7845343993457317,1.302825789012899,0.8102276370436722,1.8193100450032642,1.670056148083809,1.6079750053535573
BGB,77,0.9933792264691991,0.5490969780504233,1.0388400603814578,0.5739967277136215,1.019622600445221,0.6205789080702347,1.809114357169122,1.8098362067662448,1.6430184577427243
DYDX,12,1.9204482644563345,1.0636886340387262,1.7723854016469833,1.1062189714208621,1.4873431837129127,1.094074347924923,1.8054609243727389,1.6022012345082786,1.359453483699607
EOS,23,1.3416397331154486,0.7485953102582825,1.3273595034749959,0.7836008305460482,1.27460131985536,0.8344988177176409,1.792209642153051,1.6939230431264758,1.5273854112117284
FTN,61,0.2899784885656175,0.16186505873551377,0.31919737095306694,0.17299563988648106,0.3261462098970266,0.18498013318441223,1.7914829230651936,1.8451180108500005,1.7631418265435115
