symbol,count_high_z,vol_7d_highz,vol_7d_rest,vol_14d_highz,vol_14d_rest,vol_30d_highz,vol_30d_rest,uplift_7d,uplift_14d,uplift_30d
XLM,26,2.230812924065275,0.6572582734570936,2.0141984442882315,0.710964211460914,1.6549443143994973,0.7974193259057314,3.3941191981220524,2.833051807417122,2.0753752268541583
CRO,12,2.029560755427871,0.703599675666763,1.6338681182225476,0.7536481713011538,1.4016786951046152,0.8045731800702115,2.8845390718871027,2.1679454425023246,1.7421394719897287
XDC,44,1.4746237726184959,0.5785428310444942,1.4313381992685528,0.6219279687982975,1.231698836287724,0.6892257024720653,2.5488584310278775,2.301453337167349,1.7870761810970701
HBAR,33,2.059785566755805,0.9068979821566917,1.986471697003437,0.9387735503349663,1.728449155759602,0.9854790482343446,2.2712428600375034,2.11602861658665,1.7539177102307921
XMR,9,1.1631871642829303,0.5194238342524172,0.9532176135518203,0.5478466335673535,0.8574276836537991,0.5704725533126556,2.239379650256234,1.7399351481725032,1.5030130348512554
ALGO,27,1.772289603854202,0.8457934036171818,1.6851047829989978,0.8738778678280898,1.500634000350306,0.9101365379436162,2.0954166777308725,1.928306969470582,1.6488009631399632
TRX,37,0.9518702966525444,0.46262791388979246,1.2868148594020432,0.4697073717391177,1.4077242963755012,0.5179930305681872,2.057528886766006,2.739609673651788,2.7176510364075104
DEXE,21,1.640904360336848,0.8434025847466862,1.5927020340151492,0.8979530038213167,1.5362576126900183,0.9264225916024943,1.945576632101133,1.7737031083333625,1.6582687281326463
DOT,25,1.358709505167238,0.7118922549683951,1.3026101530398515,0.7491236207933804,1.2131533246373856,0.7771389373026498,1.9085886883648686,1.7388453879751993,1.5610507547699077
FTN,61,0.2899784885656175,0.15510602087348985,0.31919737095306694,0.1677208890079032,0.3261462098970266,0.18497984147994312,1.869550175632025,1.9031461903235323,1.7631446069348575
XRP,45,1.286002807034081,0.6946954297267697,1.2057509155638275,0.755338874441246,1.1610577090657392,0.8128659732432318,1.8511749926725127,1.5963045943527918,1.428350733434279
BGB,77,0.9933792264691991,0.5533121375558708,1.0388400603814578,0.5786736451229982,1.019622600445221,0.6205781085819041,1.7953324336191565,1.7952088696913961,1.6430205744369257
VET,10,1.4968540758092075,0.8607423634716929,1.6449401903608312,0.8841505158434885,1.5075926216606053,0.9120374311352515,1.7390268439580927,1.8604752933854727,1.6529942414578764
ETC,24,1.1538201169547855,0.6671113258017043,1.1093070446497284,0.6895095202806634,1.055935770302568,0.7084255627550675,1.729576567401515,1.6088349936026807,1.4905387747387786
EOS,25,1.3584388308254238,0.7922578935688452,1.3495588707509132,0.8173433876081666,1.27460131985536,0.8344992885807844,1.7146422166980642,1.6511528584089923,1.5273845493901477
LTC,29,1.1477410308375278,0.672842501599554,1.0835050166717926,0.7037485729756435,1.078041532931815,0.7184740954559612,1.7058093507901084,1.53961948667325,1.5004598492137193
ATOM,19,1.2746363392796138,0.7615938301122875,1.17057503086346,0.7940461367806775,1.165444130808801,0.8089343965117719,1.673643205712006,1.4741901970701017,1.4407152617497099
FIL,18,1.334838712098307,0.8079738832583266,1.2937746342850505,0.8431447862045337,1.2164631242349027,0.8688797207520835,1.6520815087676914,1.5344631852721924,1.400036271052521
TKX,6,1.1881823081052205,0.745902480393086,1.0936050946276377,0.7762233618419672,0.9341711041260753,0.8070450828559771,1.5929459136254054,1.4088793875419159,1.1575203467199424
QNT,19,1.1793416863522366,0.7432260027115081,1.1421037994326557,0.7823888745431463,1.1496045936312718,0.8116002051833827,1.5867874402263236,1.4597648772799263,1.4164666128583794
FLR,6,1.232025184206203,0.7896171900657277,1.133554420717726,0.819568291480199,1.004585070326972,0.8408725903912835,1.5602816145677494,1.383111611932235,1.1946935621477544
LINK,31,1.306509065134507,0.8431375052871649,1.3430173164417927,0.8682714958384973,1.29146363569453,0.8914318720000916,1.5495800589365574,1.5467711687861287,1.4487519195346847
ADA,33,1.227514768086392,0.7929891789839897,1.1882208393366018,0.8498225282466763,1.1494904062534816,0.912706297957766,1.547959039818342,1.398198800151953,1.2594307816496215
PAXG,48,0.20806494804073872,0.14012099626007712,0.2007951940225571,0.1457204051794337,0.16671809681370311,0.14843623051645805,1.4848948665377137,1.3779483647146518,1.1231630999631053
ICP,10,1.2426744153591545,0.8450837405512922,1.1558519181847797,0.8761840108249157,1.1921206209656257,0.899047180929375,1.4704748840020199,1.31918855389356,1.3259822690654466
SHIB,10,1.1921195671188944,0.8255256880523677,1.0191587559063726,0.8615388088332673,1.1026553838009634,0.8857605482371231,1.4440732546208443,1.1829516505316353,1.2448684760181667
XAUT,38,0.21079898031502972,0.14651773502688248,0.1918913004864147,0.15313334891743907,0.17740502846395612,0.1532003291864641,1.43872671984967,1.253099353230182,1.1579937811232237
WBT,70,0.3436983299106143,0.23895989947018026,0.33515479059199277,0.27858225126315156,0.32094440712867217,0.32559362263235764,1.4383096522582204,1.2030730208846012,0.9857208029257529
BCH,11,1.0307493210752137,0.727204934706246,0.8955863394785258,0.75452304762779,0.8729243513758296,0.7681734857672848,1.417412440265665,1.1869569025018347,1.1363635526991862
GT,13,0.6854950355595988,0.48399059624437496,0.6782804156250937,0.5051330551983119,0.6439231542694444,0.5190271708128772,1.4163395753529906,1.3427757471916093,1.240634769199001
ARB,17,1.2392890703235284,0.8763057195526249,1.1374057621491687,0.9103718984491879,1.1045401562941077,0.9380721673797184,1.414219994999251,1.2493858433973317,1.1774575503922882
