symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,pnl_usd
AAVE,2023-06-26,2023-07-03,68.91366985238075,70.3434821779129,0.02074787670711689,207.4787670711689
AAVE,2023-10-23,2023-10-30,79.59603860370491,84.64363672238464,0.06341519260538654,634.1519260538654
AAVE,2023-12-16,2023-12-23,108.49142614287462,100.12866056958758,-0.0770822715729991,-770.822715729991
AAVE,2023-12-29,2024-01-05,118.88229590878478,104.03371348837605,-0.1249015449011992,-1249.0154490119921
AAVE,2024-03-06,2024-03-13,106.48796527788494,135.16005847159727,0.2692519583681711,2692.519583681711
AAVE,2024-05-25,2024-06-01,99.31714957132388,103.82485304670324,0.04538695980337398,453.8695980337398
AAVE,2024-07-26,2024-08-02,92.93927421438248,116.67250529779608,0.2553627762216896,2553.6277622168964
AAVE,2024-11-07,2024-11-14,173.7237814430001,173.18634723578137,-0.0030936133369573178,-30.936133369573177
AAVE,2024-12-03,2024-12-10,236.0930011665355,259.1372751355423,0.09760676451713979,976.0676451713979
AAVE,2024-12-11,2024-12-18,273.27962731605135,361.46771441484816,0.32270274943256627,3227.0274943256627
AAVE,2025-01-21,2025-01-28,336.52072649112796,303.56741677420064,-0.0979235664338675,-979.2356643386751
ADA,2023-07-14,2023-07-21,0.35688444399908936,0.31576493307864373,-0.11521799734300146,-1152.1799734300146
ADA,2023-10-03,2023-10-10,0.259716498079392,0.25158828311393877,-0.031296490694898205,-312.96490694898205
ADA,2023-10-24,2023-10-31,0.2788865832767842,0.3028112205756921,0.0857862612744036,857.862612744036
ADA,2023-11-10,2023-11-17,0.3682441373296721,0.37051507481448104,0.006166934526851346,61.66934526851346
ADA,2023-12-09,2023-12-16,0.5474035170649149,0.6020396774940284,0.09980966275493337,998.0966275493337
ADA,2024-02-29,2024-03-07,0.6314079487062091,0.7336259370506201,0.16188897931022483,1618.8897931022484
ADA,2024-06-08,2024-06-15,0.4494969073060348,0.41154227146274974,-0.08443803556015145,-844.3803556015145
ADA,2024-11-07,2024-11-14,0.3630158448380859,0.5789579396018733,0.5948558384830361,5948.558384830361
ADA,2025-02-04,2025-02-11,0.8095252800415622,0.7092884772777551,-0.12382170790103156,-1238.2170790103155
ALGO,2023-07-14,2023-07-21,0.12155148432585909,0.1151567463262577,-0.05260929584749593,-526.0929584749592
ALGO,2023-10-24,2023-10-31,0.09813439964491316,0.11241013775163317,0.14547129404546158,1454.7129404546158
ALGO,2023-12-02,2023-12-09,0.13918712840466482,0.18452504481808835,0.3257335425558218,3257.335425558218
ALGO,2023-12-10,2023-12-17,0.19952814515295217,0.1979697442109676,-0.007810431660104587,-78.10431660104587
ALGO,2024-02-29,2024-03-07,0.2109148018871386,0.2571272765404623,0.21910493829661226,2191.0493829661227
ALGO,2024-03-08,2024-03-15,0.2813666560924315,0.3120163505435101,0.10893150907337762,1089.3150907337763
ALGO,2024-11-07,2024-11-14,0.12171179540798656,0.14583322716893524,0.19818483229248185,1981.8483229248186
ALGO,2024-11-16,2024-11-23,0.1866035874216872,0.2591044815960471,0.3885289408210691,3885.289408210691
ALGO,2024-11-24,2024-12-01,0.29138030114472563,0.43977049566024456,0.5092663914909438,5092.663914909438
APT,2023-07-05,2023-07-12,7.744261298494201,7.036982888439589,-0.09132935767445448,-913.2935767445448
APT,2023-10-22,2023-10-29,5.545174295606529,6.841682671206045,0.2338084082635142,2338.084082635142
APT,2023-12-13,2023-12-20,9.14414516148199,8.084132036645364,-0.11592260469592434,-1159.2260469592434
APT,2024-02-16,2024-02-23,10.199132381311765,9.234022641640315,-0.09462665093354945,-946.2665093354946
APT,2024-02-29,2024-03-07,12.251033609794947,13.656240710998667,0.11470110571570294,1147.0110571570294
APT,2024-06-05,2024-06-12,9.150397933953943,7.972806596716008,-0.12869290994092214,-1286.9290994092214
APT,2024-10-02,2024-10-09,7.563038611217213,9.347065382884225,0.23588756627805785,2358.8756627805783
APT,2024-11-11,2024-11-18,10.90763858039695,11.745089957018543,0.07677659746873607,767.7659746873607
APT,2025-02-04,2025-02-11,6.488419602870012,6.179143284283235,-0.04766589362530983,-476.6589362530983
ARB,2023-07-15,2023-07-22,1.2119317483518162,1.234677820731257,0.01876844336355959,187.68443363559592
ARB,2023-10-24,2023-10-31,0.8809409828037982,0.9654733811237506,0.0959569369231847,959.569369231847
ARB,2023-11-10,2023-11-17,1.2121302548318993,1.0789967279630328,-0.10983434027668067,-1098.3434027668068
ARB,2023-12-23,2023-12-30,1.4348299303495406,1.50693175939261,0.050251132568376565,502.5113256837657
ARB,2024-01-04,2024-01-11,1.9048274598871038,2.2131431296238304,0.16186015596131736,1618.6015596131735
ARB,2024-03-01,2024-03-08,1.9466135856827638,2.166812050135945,0.11311873402750745,1131.1873402750746
ARB,2024-05-21,2024-05-28,1.1233047888767056,1.2314669417884836,0.09628922976455852,962.8922976455851
ARB,2024-07-24,2024-07-31,0.8004170569712292,0.6774875369496253,-0.15358183455855892,-1535.8183455855892
ARB,2024-10-02,2024-10-09,0.5515888342617594,0.5401645443132528,-0.02071160480214721,-207.11604802147212
ARB,2024-11-11,2024-11-18,0.6297956354921594,0.6727622702400412,0.0682231383110572,682.231383110572
ATOM,2023-10-11,2023-10-18,6.6826421824284665,6.436675764363586,-0.03680676165957709,-368.06761659577086
ATOM,2023-12-13,2023-12-20,11.718417297632675,10.383868366308144,-0.11388474206274703,-1138.8474206274702
ATOM,2024-03-05,2024-03-12,12.508881524395076,13.716893673296411,0.09657235513386596,965.7235513386596
