symbol,count_high_z,vol_7d_highz,vol_7d_rest,vol_14d_highz,vol_14d_rest,vol_30d_highz,vol_30d_rest,uplift_7d,uplift_14d,uplift_30d
XLM,28,1.4184586913846828,0.65937233891746,1.4272411965167635,0.6944546174174956,1.3744379959768216,0.7442055189586273,2.1512256545572876,2.0551972162332497,1.8468527321593686
CRO,18,1.266415820438622,0.6182782145713076,1.1018503591218427,0.6571973604558498,0.99718882447321,0.7020278353701033,2.0482944257007505,1.676589751300233,1.42044057832479
SHIB,26,1.4253127544273119,0.7575277406766399,1.3753204076167238,0.8011151042412537,1.2872347687739776,0.8463934651450754,1.8815320916884077,1.7167575549824483,1.5208467713693183
XDC,19,1.2724832076454373,0.6851137310868785,1.2579433524434391,0.7194724829365067,1.331726230040335,0.7485107252548416,1.8573313450114974,1.7484245503166136,1.779167866414912
HBAR,20,1.4615155436129776,0.83416268462503,1.3453736710182476,0.8829538946059612,1.2583804980534103,0.9374283163520444,1.7520749495884647,1.523719051738995,1.3423751726962285
TRX,13,0.7260815384797651,0.42291658019057665,0.6423287737079312,0.4522820130997079,0.8264656826271837,0.47513046359671296,1.7168433977040456,1.4201952655727799,1.7394499952094868
ALGO,21,1.3527278181333433,0.7909391922458069,1.3835025570172301,0.8170948717108316,1.3335502575402662,0.8458791193707377,1.7102804253414017,1.6931969651461098,1.5765258025665825
BONK,30,2.3235404652832714,1.3804304958517677,2.1524480814928206,1.4417233932437163,2.1933021325075726,1.48789519033714,1.683199894718043,1.4929688257676483,1.4740971990174896
QNT,21,1.0741568566553712,0.645818693823057,0.9361725505876942,0.6787066028986874,0.9460190698417718,0.698214231650708,1.663248318652218,1.3793479341285257,1.354912327703787
XRP,20,1.108515709685264,0.6688523128862492,1.0289833944207478,0.7164141221471162,1.0287552200025247,0.7694855244856209,1.6573400260840359,1.4362969162819563,1.3369390160915868
PEPE,26,2.0001669778698856,1.208842919053034,1.6994874085367544,1.2651809955085456,1.5551501182076397,1.3137187779682828,1.6546128089468792,1.3432761119318246,1.1837770337824811
EOS,17,1.1621357168451842,0.7096873563851284,1.1766199449701982,0.7441707950446457,1.1158090633024162,0.7779414708142421,1.637531944720915,1.5811154546848458,1.4343097844295931
XMR,10,0.8007751354027681,0.5025362830623911,0.7170787887413836,0.5297249159929607,0.6294900480238669,0.559847245354245,1.593467302545695,1.3536814431264408,1.1243960799084671
GT,26,0.6786243874920511,0.4279559673746017,0.6369548174585691,0.4510591438270504,0.6128351955246502,0.4657411983806976,1.5857341390873338,1.4121314824798157,1.31582775510385
BCH,21,1.1571314667802146,0.7435484749965136,1.0783158145918326,0.7907151822422396,1.065552305379626,0.833130551063905,1.5562286867519166,1.363722157874901,1.2789739903535158
LTC,20,1.0055519736651763,0.6467715877482471,0.8942018486805956,0.6760611028459096,0.9401465754707363,0.6938475027739314,1.554725026134857,1.3226642457559128,1.3549758004635406
BGB,16,0.8233870086208281,0.5354269431199337,0.9560251566453434,0.5620409901756044,0.9202728154337485,0.5944692799671606,1.5378139243851845,1.7009883146541365,1.5480578163510583
TKX,16,0.8899997919633942,0.6048143819774017,0.836941568392061,0.6368404630600955,0.8180715373637786,0.6694527762961094,1.4715255101136933,1.3142091574559436,1.222000365567134
DOGE,26,1.104437951724239,0.7555519589793972,1.0714561050444003,0.7906290893744788,1.0374719769930134,0.8190298111424636,1.461763070823241,1.3551943881701887,1.266708443183338
FLR,26,1.1445222750776536,0.7877234744818045,1.0515123920679177,0.8302046269467136,0.9474805139975445,0.8713280328544771,1.4529493053772016,1.2665701417915713,1.0873981764291358
JUP,9,1.5841342605289717,1.1081096746732808,1.448737886387236,1.1392983126282288,1.334816559962211,1.1457421911476147,1.4295825555318282,1.2716053998580636,1.1650234845809535
DEXE,23,1.1647084742652167,0.8192061677123005,1.2177315388582628,0.8669211749246578,1.1822299274218173,0.9125597583045767,1.4217525699516635,1.40466235464152,1.2955095999611626
ADA,20,1.0262124156582941,0.7234509626127207,0.9377788218521574,0.7670000841987882,0.9574843088548771,0.8071052834453041,1.418496164483851,1.2226580429019973,1.1863189703921246
BSC-USD,9,0.055124299005838893,0.03931605725909143,0.05231659762567385,0.03994470766743213,0.04637441440879894,0.041085040800015425,1.4020810541243163,1.3097253849307504,1.1287420799830759
KAS,19,1.2497071031590057,0.8976766376110918,1.1558709307906072,0.9216750931258196,1.0571589842432099,0.945896145676418,1.3921573212429161,1.2540980432383422,1.1176269076424103
DOT,17,0.933345559665361,0.6748020421272853,0.920617371616122,0.7031525992847318,0.9493944003739526,0.7216797254809131,1.3831397971515142,1.3092710921535409,1.3155342555055083
VET,22,1.0285253730305395,0.7570280628545503,1.0046882116521656,0.785749043198473,1.0204851897673584,0.8086831339219842,1.358635727653537,1.2786375247273327,1.2619098222293421
LEO,16,0.3873970235678849,0.286942607326336,0.329691114157899,0.30126926456171266,0.32143784143785387,0.3198287552942841,1.3500853957436285,1.0943403557529656,1.0050310865328203
CRV,21,1.2008437693662657,0.9156566211915323,1.1652655521254964,0.9530041987595592,1.1505968524613617,0.9884250782253408,1.3114564363698074,1.2227286654583673,1.1640708818590386
OKB,24,0.6138438158429497,0.4701628151114445,0.6403269674861848,0.49424282563636196,0.6342211490300772,0.515243322049989,1.305598392968291,1.295571598154677,1.2309158059666128
SUSDS,4,0.06346777907049457,0.04925853186210628,0.05375774043421905,0.04724713832125432,0.04604620241202323,0.04228994248937549,1.288462661619016,1.1377988666466157,1.08882158975722
